reference;data
Lentils, irrigated;rest
Lentils, rainfed;rest
Lettuce and chicory, irrigated;c3ann_irrigated
Lettuce and chicory, rainfed;c3ann_rainfed
Linseed, irrigated;c3ann_irrigated
Linseed, rainfed;c3ann_rainfed
Lupins, irrigated;rest
Lupins, rainfed;rest
Maize, irrigated;rest
Maize, rainfed;rest
Maize, green, irrigated;rest
Maize, green, rainfed;rest
maizefor, irrigated;rest
maizefor, rainfed;rest
Mangoes, mangosteens, guavas, irrigated;rest
Mangoes, mangosteens, guavas, rainfed;rest
Mate, irrigated;rest
Mate, rainfed;rest
Melons, other (incl cantaloupes), irrigated;c3ann_irrigated
Melons, other (incl cantaloupes), rainfed;c3ann_rainfed
Melonseed, irrigated;c3ann_irrigated
Melonseed, rainfed;c3ann_rainfed
Millet, irrigated;rest
Millet, rainfed;rest
mixedgrass, irrigated;c3ann_irrigated
mixedgrass, rainfed;c3ann_rainfed
Mushrooms and truffles, irrigated;c3ann_irrigated
Mushrooms and truffles, rainfed;c3ann_rainfed
Mustard seed, irrigated;rest
Mustard seed, rainfed;rest
Nutmeg, mace and cardamoms, irrigated;rest
Nutmeg, mace and cardamoms, rainfed;rest
Nuts nes, irrigated;rest
Nuts nes, rainfed;rest
Oats, irrigated;c3ann_irrigated
Oats, rainfed;c3ann_rainfed
Oil palm fruit, irrigated;rest
Oil palm fruit, rainfed;rest
oilseedfor, irrigated;c3ann_irrigated
oilseedfor, rainfed;c3ann_rainfed
Oilseeds nes, irrigated;c3ann_irrigated
Oilseeds nes, rainfed;c3ann_rainfed
Okra, irrigated;c3ann_irrigated
Okra, rainfed;c3ann_rainfed
Olives, irrigated;rest
Olives, rainfed;rest
Onions, dry, irrigated;c3ann_irrigated
Onions, dry, rainfed;c3ann_rainfed
Onions, shallots, green, irrigated;c3ann_irrigated
Onions, shallots, green, rainfed;c3ann_rainfed
Oranges, irrigated;rest
Oranges, rainfed;rest
Papayas, irrigated;rest
Papayas, rainfed;rest
Peaches and nectarines, irrigated;rest
Peaches and nectarines, rainfed;rest
Pears, irrigated;rest
Pears, rainfed;rest
Peas, dry, irrigated;rest
Peas, dry, rainfed;rest
Peas, green, irrigated;rest
Peas, green, rainfed;rest
Pepper (piper spp), irrigated;rest
Pepper (piper spp), rainfed;rest
Peppermint, irrigated;c3ann_irrigated
Peppermint, rainfed;c3ann_rainfed
Persimmons, irrigated;rest
Persimmons, rainfed;rest
Pigeon peas, irrigated;rest
Pigeon peas, rainfed;rest
Pineapples, irrigated;rest
Pineapples, rainfed;rest
Pistachios, irrigated;rest
Pistachios, rainfed;rest
Plantains and others, irrigated;rest
Plantains and others, rainfed;rest
Plums and sloes, irrigated;rest
Plums and sloes, rainfed;rest
popcorn, irrigated;rest
popcorn, rainfed;rest
Poppy seed, irrigated;c3ann_irrigated
Poppy seed, rainfed;c3ann_rainfed
